Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62572695,4.402,0.1,0,0,0,0.1,0,0,0,0.1,0,115,0,0,30.94,38.88,34.19,30.44,33.6286848994758,54.1564672159239,108.946431426788,71.0941554234568,164.500358937685,103.566998554244,210.055015914463,148.767839433777,254.740747812556,207.149071323659,299.337884600391,270.283298872179,337.588328874933,323.070998531101,366.954822264134,369.785746126808,399.33103395954,418.735115339659
62572894,4.604,0.1,0,0,0,0.1,0,0,0,0.1,0,115,0,0,30.81,43,33.88,30.38,33.7299783949891,54.1934159588712,108.973741927733,71.166693732425,164.481956628525,103.690533706075,209.954423194922,149.10570875997,254.201495580353,207.496451780583,298.669040532242,270.662880009046,336.866504808163,323.655928290199,366.005733765457,370.456228731486,398.266221095617,419.531568182998
62573094,4.808,0.1,0,0,0,0.1,0,0,0,0.1,0,115,0,0,30.81,43,33.88,30.38,33.6328041017372,54.1819400292106,108.933278611485,71.1179470462414,164.496307856119,103.622421905754,210.06694478287,148.977402427702,254.575174511336,207.409765491548,299.037587546377,270.511786680975,337.296098024734,323.468891490513,366.448642698773,370.270143157737,398.712092243851,419.255825388665
62573294,5.002,0,0,0,0,0,0,0,0,0,0,115,0,0,30.81,43,33.88,30.38,33.6431253422839,54.2081607654854,108.965134796324,71.1515652512429,164.565535915286,103.570971026102,210.312609965607,148.734237500908,255.175640643368,206.872178154044,300.011603603129,269.804542739879,338.543523678339,322.457850632286,366.904068505603,369.83084158804,400.627439799088,417.799336474436
62573494,5.202,0,0,0,0,0,0,0,0,0,0,115,0,0,30.75,44.31,33.75,30.31,33.66103160914,54.2242012707178,109.022872528977,71.1612646197093,164.697381115103,103.454146100947,210.766814043582,148.319002090914,255.931534963597,206.155286048487,301.185687125499,268.788921370297,340.053260611967,321.255847162206,369.732995716822,367.56332871474,402.676493451047,416.273988432768
62573695,5.402,0,0,0,0,0,0,0,0,0,0,115,0,0,30.75,44.31,33.75,30.31,33.7082386690901,54.1648818860117,109.037496219655,71.1396943754614,164.905129283593,103.222364568784,211.260272802576,147.802847645271,257.028217241852,205.228937844998,302.793240307378,267.479795937827,342.134618971105,319.538617328058,372.282546555394,365.698005211407,405.567394219614,413.911655491382
62573894,5.602,0,0,0,0,0,0,0,0,0,0,115,0,0,30.69,47.94,33.69,30.31,33.6147100704328,54.1054356637691,109.144909624461,71.0628097602202,164.947177111579,103.005826089672,211.603446138902,147.354058257143,257.641250138219,204.53825344238,303.820239892553,266.51388075121,343.465410970167,318.468454359664,373.906997820115,364.438663748383,407.50580944384,412.675520599976
62574094,5.804,0,0,0,0,0,0,0,0,0,0,115,0,0,30.69,47.94,33.69,30.31,33.694319889168,54.1112745889098,109.207180670396,71.0748499077253,165.164424285392,102.736100552679,212.199249334178,146.830564780626,258.877795170185,203.517984088799,305.535117595928,264.999452895862,345.716134608336,316.508632775072,376.668858912531,362.280187081193,410.766085003306,410.085258473932
62574294,6.006,0,0,0.35,0,0,0,0.35,0,0,0.35,115,0,0,30.69,47.94,33.69,30.31,33.5606182047158,54.1174296233115,109.19286288523,71.0162239609194,165.225971596078,102.596058086362,212.484117721345,146.36818183391,259.522245282524,202.844780108265,306.696002371935,264.079130067419,347.041725348183,315.568749776212,377.94429909391,361.165084596694,412.097868729148,409.093767969057
62574494,6.201,0,0,0.35,0,0,0,0.35,0,0,0.35,115,0,0,30.63,49,33.63,30.25,33.6250667616381,54.147653503728,109.249592703204,71.0483196655224,165.448538924426,102.449292931084,212.973857323999,146.002236209003,260.50376374719,202.043753163977,308.067762785743,262.884775910163,348.617611651319,314.125392867635,379.631643993424,359.740982380771,413.757993461809,407.544861154345
