Simulation time (sec),kappa_bar_phi_00,kappa_bar_phi_01,kappa_bar_phi_10,kappa_bar_phi_11,
6.050898203592815,0.0,-46.35198792375458,0.0,-25.278222649614477,
6.110778443113772,0.0,-45.44178040321074,0.0,-22.714305053673062,
6.1706586826347305,0.0,-43.97892488778014,0.0,-20.772173913293187,
6.230538922155689,0.0,-43.51876732764446,0.0,-18.775990559598974,
6.290419161676647,0.0,-42.03391752495281,0.0,-15.416980652035637,
6.350299401197605,0.0,-40.49013137825366,0.0,-11.966759616533185,
6.410179640718563,0.0,-38.94033784294488,0.0,-8.464978338300243,
6.470059880239521,0.0,-37.35263356129811,0.0,-6.385830467533767,
6.529940119760479,0.0,-36.3548895284968,0.0,-3.586292402527646,
6.589820359281437,0.0,-34.70188668986385,0.0,-1.4772129728534675,
6.649700598802395,0.0,-33.06965535632305,0.0,0.6424250806157183,
6.709580838323354,0.0,-31.4413797586419,0.0,3.457960437233711,
6.769461077844311,0.0,-31.16094162039594,0.0,4.865094008422746,
6.8293413173652695,0.0,-31.16094162039594,0.0,4.865094008422746,
6.889221556886228,0.0,-30.589619532790962,0.0,5.56877705591059,
6.949101796407185,0.0,-30.00936756939491,0.0,6.269033728976331,
7.008982035928144,0.0,-30.00936756939491,0.0,6.269033728976331,
7.068862275449102,0.0,-30.00936756939491,0.0,6.269033728976331,
7.12874251497006,0.0,-30.112809068770378,0.0,5.201731178789016,
7.188622754491018,0.0,-30.112809068770378,0.0,5.201731178789016,
7.248502994011976,0.0,-30.709550508217863,0.0,4.498760634291751,
7.308383233532934,0.0,-30.419431088253873,0.0,3.7737642236751894,
7.368263473053892,0.0,-31.624783540596695,0.0,5.199551040005303,
7.42814371257485,0.0,-33.97131814084775,0.0,6.635574084537146,
7.4880239520958085,0.0,-36.82420857542515,0.0,13.022925226482919,
7.547904191616767,0.0,-40.1272645809486,0.0,17.20407932388465,
7.607784431137724,0.0,-43.29174022963697,0.0,21.30547542424616,
7.667664670658683,0.0,-46.30543497487825,0.0,24.28480414844108,
7.727544910179641,0.0,-47.76486243854201,0.0,26.271505474476903,
7.787425149700598,0.0,-50.57663869816756,0.0,27.60157552738033,
7.847305389221557,0.0,-51.5782094631285,0.0,29.506383769374995,
7.907185628742515,0.0,-53.78448119105098,0.0,30.18222050519738,
7.967065868263473,0.0,-54.23444622036702,0.0,30.808047761764886,
8.02694610778443,0.0,-55.408264115673276,0.0,31.42776915343663,
8.08682634730539,0.0,-55.82329582732831,0.0,32.05333954170453,
8.146706586826348,0.0,-56.26391488467503,0.0,33.879484186324504,
8.206586826347305,0.0,-57.08010304727677,0.0,32.69024781262478,
8.266467065868262,0.0,-57.490856913824096,0.0,33.308723956701996,
8.326347305389222,0.0,-57.091242974815785,0.0,32.70376986015665,
8.38622754491018,0.0,-57.091242974815785,0.0,32.70376986015665,
8.446107784431138,0.0,-57.49828609134959,0.0,32.09944260426505,
8.505988023952096,0.0,-57.08809694450836,0.0,31.49121117967718,
8.565868263473053,0.0,-56.2638094865444,0.0,30.246633539282698,
8.625748502994012,0.0,-55.85713193668683,0.0,28.36721982924654,
8.68562874251497,0.0,-55.438884108365926,0.0,27.74219840638976,
8.745508982035929,0.0,-54.34682809133119,0.0,25.78688368014003,
8.805389221556887,0.0,-53.907934130480285,0.0,25.136827841038613,
8.865269461077844,0.0,-53.03190053017664,0.0,21.193516093630677,
8.925149700598801,0.0,-50.82452384409259,0.0,19.116153154472418,
8.98502994011976,0.0,-48.49225168401853,0.0,15.684443193127217,
9.04491017964072,0.0,-45.577980544012334,0.0,11.491128858361993,
9.104790419161677,0.0,-43.022141965902456,0.0,6.555796410242517,
9.164670658682635,0.0,-39.8831276142343,0.0,2.2363300322398647,
9.224550898203592,0.0,-38.24853118837484,0.0,-1.3593088542278287,
9.28443113772455,0.0,-36.56862900020334,0.0,-6.72670913322296,
9.344311377245509,0.0,-34.33028101114242,0.0,-9.609565047202949,
9.404191616766468,0.0,-32.04621104767553,0.0,-9.646106607559577,
9.464071856287426,0.0,-30.269392968044343,0.0,-14.882411910926784,
9.523952095808383,0.0,-29.36960136483589,0.0,-17.641736784610423,
9.583832335329342,0.0,-27.58601919882051,0.0,-18.383646306860435,
9.6437125748503,0.0,-26.98065049523906,0.0,-20.597509957927592,
9.703592814371257,0.0,-25.748167359723368,0.0,-21.950582218504806,
9.763473053892216,0.0,-24.48295004018135,0.0,-23.296844707158588,
9.823353293413174,0.0,-24.406188388420354,0.0,-24.28111987365408,
9.883233532934131,0.0,-24.406188388420354,0.0,-24.28111987365408,
9.94311377245509,0.0,-23.781221521681353,0.0,-24.936757975872037,
10.002994011976048,0.0,-23.781221521681353,0.0,-24.936757975872037,
10.062874251497005,0.0,-23.781221521681353,0.0,-24.936757975872037,
10.122754491017965,0.0,-24.42288652504764,0.0,-24.29284047338553,
10.182634730538922,0.0,-24.4686820447856,0.0,-23.66575840880142,
10.24251497005988,0.0,-24.80330045419426,0.0,-23.35595836355248,
10.302395209580839,0.0,-24.82751835693221,0.0,-22.05244422030789,
10.362275449101796,0.0,-25.449769505584708,0.0,-21.382890526357027,
10.422155688622755,0.0,-26.066320616717746,0.0,-20.725197741368127,
10.482035928143713,0.0,-25.45731076603491,0.0,-20.06618703735392,
10.54191616766467,0.0,-26.169863288214813,0.0,-19.37624725268155,
10.60179640718563,0.0,-26.800396877760637,0.0,-18.692457150986936,
10.661676646706587,0.0,-27.437939330104225,0.0,-18.009144594785116,
10.721556886227544,0.0,-27.437939330104225,0.0,-18.009144594785116,
10.781437125748504,0.0,-27.72896183238883,0.0,-16.477210784043972,
10.841317365269461,0.0,-27.72896183238883,0.0,-16.477210784043972,
10.901197604790418,0.0,-28.32873138874126,0.0,-15.771426579462968,
10.961077844311378,0.0,-28.32873138874126,0.0,-15.771426579462968,
11.020958083832335,0.0,-28.952554577672814,0.0,-15.08048619270219,
11.080838323353294,0.0,-29.56165908650894,0.0,-14.389053986742848,
11.140718562874252,0.0,-29.56165908650894,0.0,-14.389053986742848,
11.20059880239521,0.0,-29.597683353411743,0.0,-13.295034919150929,
11.260479041916168,0.0,-29.597683353411743,0.0,-13.295034919150929,
11.320359281437126,0.0,-30.211014821142662,0.0,-12.583684776121734,
11.380239520958083,0.0,-30.211014821142662,0.0,-12.583684776121734,
11.440119760479043,0.0,-30.211014821142662,0.0,-12.583684776121734,
11.5,0.0,-30.81097533187164,0.0,-11.870048319845692,
